content,score_cat,thumbsUpCount,word_count,has_promo,final_label,label,pseudo_prob
promo ya payah udah giliran tukar semua bilang gangguan apa lah niat gak sich bikin promo,2,0.0,16.0,1,0,,
semoga banyak promonya menanti. nanti kalau ada yang berkenan gasss...,4,0.0,10.0,1,0,,
"sangat mengecewakan masa udah order nyampek sana di kasih tahu .. maaf stok abis .. proses refund DANA lama sampai 14 hari,smoga saja bener² di refund kalau gak ... hhmmm",1,0.0,30.0,0,0,,
"tidak bisa login, saat login no hp tidak terdektek terus",1,0.0,10.0,0,0,,
"bagus kok, asal ada voucher alfamart aja pas awal"" cek in selama 7 hari, harusnya di adakan lagi krna sgt membantu... dan lumayan sekali bermanfaat kalau sering ada voucher alfamart",5,0.0,30.0,1,0,,
menu terlengkapa apa aja ada,5,0.0,5.0,0,0,,
"pelayanan admin dalam menanggapi masalah sangat baik sekali, dan aplikasinya sangat mudah di akses, terima kasih QPON",5,0.0,17.0,0,0,,
"Aplikasi Qpon ini beneran wajib buat anak muda! 😍 User interfacenya simpel, gampang dipakai, dan banyak pilihan diskon makanan kekinian. Setiap hari jadi hemat banget, gak perlu ribet cari promo lagi. Apalagi buat anak kos, ini aplikasi kayak penyelamat hidup! 🎉 Dijamin worth it banget dan gak bikin kecewa!",5,24.0,49.0,1,1,,
promonya makin sedikit & ga banyak storenya...parah,1,1.0,7.0,1,0,,
qpon knpa yah sekarang ini klo mau pesen ribet bgt ga bisa bisa. Kya ada tulisan banyak peminat cba lgi nanti eh pas di cba tetep ga bisa aneh gmna sih ini,2,0.0,32.0,0,0,,
WA tdk ditanggapi,1,0.0,3.0,0,0,,
"Aplikasi Qpon ini beneran bikin hidup lebih hemat! Banyak banget pilihan promo makanan harian yang bikin anak kos kayak aku bisa makan enak tanpa khawatir kantong jebol 🍴💸. User interfacenya gampang banget dipakai, dan vouchernya super mudah ditukar. Cocok banget buat pelajar atau siapa pun yang mau gaya hidup hemat! 🚀",5,5.0,51.0,1,1,,
"Aplikasi Qpon benar-benar wajib banget buat anak muda yang mau hidup lebih hemat! 🤩 Promo makanan hariannya super lengkap, gampang tukar voucher, dan sangat praktis dipakai. Cocok banget buat pelajar atau anak kos karena banyak diskon kuliner kekinian. Dijamin bikin gaya hidup lebih hemat dan seru setiap hari! 👌",5,2.0,49.0,1,1,,
"Jajan memang hemat kalo pake Qpon, cuma minusnya CS Qpon gak Fast Respon gak pernah di balas.",5,2.0,17.0,1,0,,
"Mau ngambil malah habis, disuruh ke outlet lain, sampai di outlet lain juga habis",1,0.0,14.0,0,0,,
"ini gimana dah min, di ig tiktok semua dah di chatt responnya gadak semua, saya udah undang temen, nah ada dapat 40k cara gunain 40k nya gimana ????, gada penjelasan",1,0.0,30.0,0,0,,
banyak promo nyaa 👍,5,0.0,4.0,1,0,,
promo sangat menarik,5,0.0,3.0,1,0,,
setiap penukaran voucher pasti di persulit sm outlet nya bnyak beutt alasan nya yg ngadi ngadi aplikasi kentang ga recommended,1,0.0,20.0,1,0,,
"udah males bgt pake qipon terlalu banyak peminat mulu, uninstal ajh lah",2,0.0,12.0,0,0,,
harga menjadi murah,5,0.0,3.0,0,0,,
"Aplikasiny gak bs refund kesel bgt..Beli utk chatime ternyata d outlet gk bs pke qpon, emg salahny gk liat dl, tp harusny bs d refund wlw ad potongan brp persen gitu..",1,0.0,31.0,1,0,,
"aktivtas offline lah produk flash sale abis , gaje nih aplikasi benerin dlu napa",1,1.0,14.0,0,0,,
"opsi favorit mestinya bukan ada di toko aja, tapi mesti bisa spesifik lagi yaitu di menu resto yg mau dibeli dan menurut gua perlu ada tambahan mode keranjang, krna menu yg w suka pas w beli ternyata salah beli kupon setelah tau dateng ke restonya krna di aplikasi gak ada opsi keranjang.",3,0.0,52.0,0,0,,
"Qpon benar-benar aplikasi yang wajib dimiliki anak muda masa kini! Dengan banyaknya promo makanan harian, aku bisa makan enak tanpa khawatir kantong jebol 🍔🥤. User interface-nya simpel banget, gampang dipakai, dan selalu update diskon restoran terdekat. Worth it banget buat hemat sehari-hari! 👏",5,0.0,43.0,1,1,,
eror mulu,1,0.0,2.0,0,0,,
apk gajelass sumpah jangan download wee,1,0.0,6.0,0,0,,
sangat membantu promo nya. terimakasih Qpon 💛,5,0.0,7.0,1,0,,
"saya gak bisa masuk login di apk nya, menurut saya gak baik apk ini masak gak bisa login, di tolak malah",1,0.0,21.0,0,0,,
akun ku ke suspend gabisa dibuka lewat hp ku lagii padahal sebelumnya hampir setiap hari order lewat qpon 😭😭😭 mohon bantuannya admin 🙏,2,0.0,23.0,0,0,,
"qpon akun saya dibatasi ga bisa login lagi,tolong di perbaiki",3,0.0,10.0,0,0,,
"Aplikasi Qpon itu keren banget! 🎉 Promo makanan harian dan diskon kuliner kekiniannya bener-bener bikin hemat setiap hari. Cara pakainya juga super gampang, tinggal klik langsung dapet voucher—praktis dan bermanfaat banget! Cocok buat anak muda yang pengen gaya hidup hemat. Wajib download! 😍",5,0.0,43.0,1,1,,
"pas mau daftar katanya nomor bermasalah padahal gk ngapa2in, pakek nomor lain pun tetep sama",1,4.0,15.0,0,0,,
"Penipuan, saldo saya lenyap seketika. niat mendapatkan diskon malah tertipu. silakan coba sendiri. saya akan tuntut developer app tolol ini",1,0.0,20.0,1,0,,
gaje gabisa masuk lagi,1,0.0,4.0,0,0,,
"aplikasi anehh, katanya ngajak temen banyak biar dpt ptongan setiap pembelian. nyatanya saya banyak ngundang temen, akun saya malah terdeteksi mencurigakan karna saya sering bertransaksi, sudah hampir 2 bln akun saya tidak bisa dibuka. pdhal pesanan saya banyak yg blm redeem, log in pake hp suami biasanya bisa. eh semenjak log out sendiri. ga bisa log in lagii, pesanan saya banyak yg expired dan gada uang refund masuk ke rekening saya. ANEH",2,10.0,72.0,0,0,,
bagus sekali program nya,5,0.0,4.0,0,0,,
"Proses refundnya amat, sangat, teramat lama. masa sudah 5 hari dari Minggu s/d kamis prosesnya belum kelar. ini bukan tentang nominal, lebih ke kepercayaan kita terhadap jasa dari aplikasi yang kita gunakan saat ini. Mohon sekiranya untuk diperhatikan dan diperbaiki lagi sistem ini,, Terima kasih 🙏🙏",1,2.0,46.0,1,0,,
Qpon jajanan yg banyak promonya mudah digunakan,5,0.0,7.0,1,0,,
Pret.,1,0.0,1.0,0,0,,
akun saya nggk bisa login ..bilangnya 1x24 jm ..tapi ini saya udah 3x24 jm ttp aja nggk bisa,1,1.0,18.0,0,0,,
"Suka bgtt ya Allah sm apk ini, bisa jajan jadi murahh makasii banyakkkk, sukses trs ni apk qpon makin berkah🥰🥰😍🫰🏼🫰🏼🫰🏼",5,0.0,20.0,0,0,,
"fast respond ttg kendala transaksi, akhirnya di proses refund, dan hasil nya smg memuaskan. Sy di minta menunggu 5-6 hari krj.",5,0.0,21.0,0,0,,
ini knp abis di donlod putih doang g bsa di buka... hufft,1,0.0,12.0,0,0,,
"Aplikasi Qpon ini benar-benar solusi terbaik buat anak muda yang ingin hemat! 🌟 Banyak promo makanan kekinian dan diskon restoran terdekat yang bikin makin seru. UI/UX-nya sangat nyaman dan mudah dipakai, tinggal klik langsung bisa tukar voucher. Cocok banget buat pelajar & anak kos yang cari makan hemat tiap hari! 🤑",5,0.0,51.0,1,1,,
gabisa digunakan lagi apknya flash sale udah abis .mau coba payment gabisa bilangnya banyak peminat tapi akun temen bisa beli . apa ada batas transaksi aplikasinya ? kalo dihitung udah sekitar 15 transaksi digunakan,3,27.0,34.0,1,0,,
aplikasi sakit mau login aja dipersulit,1,0.0,6.0,0,0,,
mau beli voucher. ga bisa mulu. keterangan. terlalu banyak peminat.,1,1.0,10.0,1,0,,
"notif refund berhasil tapi tidak ada saldo msk. lama juga ya refundnya. refund karena pas antri bilangnya ada itu roti, tapi sudah transaksi dsn simbak mau ambil roti tiba2 bilang habis.",1,0.0,31.0,0,0,,
"Bintang 1 yaa karena skrg beberapa kali beli kode QR nya gk keluar, un instal instan lg tetap kodenya gk keluar",1,1.0,21.0,1,0,,
murah meriah belanja di sini diskon besar besaran,5,0.0,8.0,1,0,,
"Jangan instal aplikasi ini, duit saya sudah sukses pembayaran Qris tapi aplikasi masih pembayaran, CS dihubungi jugga respon Kayak telek, udah 2x24 jam loh, udah berapa kali dihubungi CS, jangan percaya kata2 bagus. dari komenan diatas, buzzer itu, hangus nanti uang kalian. aplikasi penipuan.",1,6.0,44.0,0,0,,
"misi sudah dilaksanakan...ehh kupon gak bisa diklaim. alasannya aktifitas mencurigakan dan login dr banyak perangkat, pdhl cma dr 1 hp doang. emang saya jualan narkoboy ampe dicurigai segala...pdh cuma mau berburu diskonan. chat dg CS dibilang kupon bisa berlaku 1 bln....tpi akun di suspend 3 bulan. sama aja bohong woyy.... bukannya ngasih solusi cma buang² waktu. mending dihapus aja akunnya",1,6.0,60.0,1,0,,
ok,5,0.0,1.0,0,0,,
bagus,5,0.0,1.0,0,0,,
"Qpon beneran aplikasi yang wajib banget buat anak kos dan pelajar! 🎉 Semua promo makanan harian jadi gampang dicari, diskonnya juga banyak banget. Aplikasi ini super praktis dan mudah dipakai, gak ribet sama sekali. Dengan Qpon, hidup jadi lebih hemat dan seru. Pokoknya worth it banget deh! 🔥",5,0.0,48.0,1,1,,
makasih Q pon selalu kasih discon,5,0.0,6.0,0,0,,
"wis mantap guys, gue udah hemat banyak. rugi banget gak daftar asli. daftar pakai nomor hp aja terus masuk kode B 8 5 A B 4 dijamin untung berlimpah. no cap, gak bohong seriusan. cobain aja",5,1.0,36.0,1,0,,
responx bagus n puas,5,0.0,4.0,0,0,,
nice,5,0.0,1.0,0,0,,
aplikasi hemat. cocok banget untuk yg mau me manag keuangan. apalagi promo dr brand brand yang menurut saya oke banget.. ditunggu brand baju lain nya ya qpon☺️,5,3.0,27.0,1,0,,
"awal pemakaian bagus, lama lama bilangnya di toko habis atau ga ada. padahal udah di klik tukarkan.",4,0.0,17.0,0,0,,
"aplikasi ini sangat bagus,pesanan refund uang bisa kembali 👍👍👍",5,0.0,9.0,0,0,,
"Voucher belum di tukarkan di toko udah gak bisa di pakai Lawak Aplikasinya 50k gua melayang gak jadi apa"" aplikasi SCAM",1,0.0,21.0,1,0,,
Sponsor ini sangat membantu untuk berbelanja,5,0.0,6.0,0,0,,
Enak cari makan jadi simple,5,0.0,5.0,0,0,,
lanjutkan,5,0.0,1.0,0,0,,
tumila,1,0.0,1.0,0,0,,
"ADA BANYAK BANGET PROMO, DAN DENGAN ADANYA QPON SAYA BISA MENGHEMAT BANYAK UANG",5,0.0,13.0,1,0,,
lumayan,2,0.0,1.0,0,0,,
aplikasis terthe best pokonya qpon,5,0.0,5.0,0,0,,
"halo saya punya masalah saat mau login, mau login dengan WhatsApp tidak bisa dan melalui kode OTP juga smsnya gk masuk. kira kira gimana solusinya? jika mslah ini terselesaikan saya ubah jadi bintang 5. Terimakasih",1,11.0,35.0,1,0,,
bagus,5,0.0,1.0,0,0,,
mantap enak cuma pelayanannya lelet sumpah nyebelin,5,0.0,7.0,0,0,,
bagus,5,0.0,1.0,0,0,,
refund y lma bngettt,1,0.0,4.0,0,0,,
"aplikasi tidak bisa digunakan. saya beli voucher, saya yg gunain, saya juga yg di rugiin. sistemnya masih jelek!! merugikan cust. chat cust service dan jelaskan permasalahan tidak dpt solusi, hanya diberi jawaban template yg ada di aplikasi. sangat tidak berguna.",1,5.0,40.0,1,0,,
aplikasi amal kah ini 😆,5,0.0,5.0,0,0,,
saya beli di apk qpon dan sudah bayar tapi knpa vocer nya tidak muncul sampai waktu penukaran habis tetep aja blm muncul padahal sudah bayar. dan saya WhatsApp qpon tidak ada respon sama sekali...sangat tidak puas dan saya ingin uang saya kembali.,1,16.0,42.0,0,0,,
"saya gak bisa buat akun di aplikasi ini, keterangan selalu bertuliskan akun ini tidak normal dan tidak bisa masuk sementara. tapi sampai sekarang saya tetap tidak bisa masuk. tolong beri tau letak tidak normalnya dan bagaimana caranya agar saya bisa buat akun.",1,8.0,42.0,0,0,,
puas jajan pake qpon 🥰🥰😍😍😍,5,0.0,5.0,0,0,,
tiap ke resto yg kerjasama produk selalu tidak ada untuk pengguna qpon,1,0.0,12.0,0,0,,
"Qpon bener-bener aplikasi wajib buat anak kos dan pecinta kuliner! 😍 Penggunaannya super mudah, tinggal pilih promo favorit terus tukar voucher deh. Banyak banget diskon makanan kekinian yang bikin ngidam terpenuhi tanpa bikin dompet nangis. 🤑 Pokoknya, hidup jadi lebih hemat & seru bareng Qpon!",5,4.0,45.0,1,1,,
GK dinkirim kode otp,1,0.0,4.0,1,0,,
"👹👺👹👺 sponsor tidak pengertian, tidak bisa kerja sama, tiba tiba memblokir penggunaan pengguna. BAD 0/5 jika bisa dirating",1,0.0,18.0,0,0,,
Makasih Qpon..jadi Bs jajan terus..Mantap discountnya💃💃💃😁🤗,5,0.0,6.0,0,0,,
"tolong donk di perbaiki LG server nya. mau CO beli Qpon TPI GK bisa katanya sistem nya lgi sibuk 😭 pdahal suka bgt pake Qpon ,murah meriah ❤️",5,1.0,28.0,0,0,,
bagus,5,0.0,1.0,0,0,,
apk gajelas gk bisa login udah 3 minggu sengaja banget biar voucher angus,1,0.0,13.0,1,0,,
"apk aneh, pdhl gw udh ngajak temen gw yg pengguna baru tp kepotongnya ga seberapa",2,0.0,15.0,0,0,,
"Aplikasi Qpon ini benar-benar bikin hidup jadi lebih hemat! 🌟 Banyak promo makanan harian yang super worth it, apalagi buat anak kos kayak aku. Penggunaan aplikasinya juga super gampang, user-friendly banget! Banyak pilihan diskon restoran terdekat, jadi ga bakal kehabisan opsi. Wajib install deh! 🔥",5,0.0,45.0,1,1,,
"Qpon bener-bener wajib banget buat sehari-hari! 🎉 Aplikasi ini gampang banget dipakai, apalagi buat anak kos kayak aku, jadi bisa makan hemat tiap hari tanpa ribet. Banyak pilihan promo makanan kekinian, dan diskonnya worth it banget! Pokoknya ini solusi terbaik buat yang pengen hidup lebih hemat. 💸",5,5.0,47.0,1,1,,
aplikasi ini bsa Gofood ngak??,1,0.0,5.0,0,0,,
"awal instal aplikasi terus di pke sangat mudah..1,2,3 pmakaian aman, tapi stlh bbrpa kali pakai promonya selalu ada tulisan ""terlalu banyak peminat,coba lagi nanti"" gitu aja terus sampe kapan tau ..saat keluar aplikasi terus masuk lagi pun lama minta kode verifnya kusut.",1,119.0,42.0,1,0,,
mantaap👍,5,0.0,1.0,0,0,,
blm coba,4,0.0,2.0,0,0,,
aplikasi sampah! cs nya tidak berguna!,1,0.0,6.0,0,0,,
banyak diskonnya dan bisa direfund jika ada kendala atau tidak jadi digunakan,5,0.0,12.0,1,0,,
keluar keluar terus tolong di perbaharui,1,0.0,6.0,0,0,,
"Ga ada respon jika komplain, cm di baca bnyak transaksi nyangkut, vocher hilang, awal untung skrng rugi pakai ini, apakah ini cara qpon kembalikan modal yg kmrn mrk bakar? Kalau iya itu cara yg kotor ya qpon. Malu lah kl cara nya kaya gt.",1,6.0,44.0,0,0,,
sudah instal berhari² tapi masih blm bisa login jiga,1,1.0,9.0,0,0,,
buruk,1,0.0,1.0,0,0,,
oke,5,0.0,1.0,0,0,,
"saya tidak bisa login lagi, setelah saya hapus akun",1,0.0,9.0,0,0,,
"aplikasi nya mantap, dan Terbanti banget dengan ada nya kupon apalagi kalau udah ngundang teman, banyak kupon nya dan bisa di pakai dan jadi banyak potongan harga karna Makai qpon",5,2.0,30.0,1,0,,
"ga bisa login, padahal banyak voucher yang belum di tukerin, uda nunggu 1x24 jam tetep ga bisa, uda chet admin tapi ga di bales, ini mau gimana?",1,0.0,27.0,1,0,,
banyak promo,5,0.0,2.0,1,0,,
"tidak bisa membeli apapun, server sibuk terus katanya.",1,0.0,8.0,0,0,,
ganti permainan gk bagus,1,0.0,4.0,0,0,,
sangat memuaskan!,5,0.0,2.0,0,0,,
qpon bagus,5,0.0,2.0,0,0,,
"Aplikasi Qpon ini bener-bener bikin hidup jadi lebih hemat! 😍 Pilihan promo makanannya banyak banget dan gampang banget buat dipakai. Cocok buat anak kos kayak aku yang pengen tetap hemat tapi tetap bisa makan enak setiap hari. 🌟 Interface-nya simple, transaksinya lancar, dan promo selalu update. Pokoknya worth it banget! 💸",5,8.0,51.0,1,1,,
"pengembalian dana vouchernya terlalu ribet , tdk muncul option untuk refund voucher.",3,0.0,12.0,1,0,,
"Aplikasi Qpon itu beneran wajib banget buat anak muda dan pelajar! ✨ Fitur-fitur di dalamnya gampang banget dipakai, terus banyak promo makanan harian yang bikin hidup lebih hemat. 🤩 Selain itu, aplikasi ini super lancar, nggak bikin pusing, dan selalu ada diskon restoran terdekat. Pokoknya, worth it banget buat dicoba!",5,11.0,50.0,1,1,,
"aplikasi ga jelas, awal di gunain bisa makin ksni makin gabisa beli di qpon tulisan nya ""TERLALU BANYAK PEMINAT"" 😤",1,1.0,20.0,0,0,,
"Tolong banget kenapa pengembalian dana nya lamaaaa, orang orang udah dapet 1-3 hari tapi saya belum dapet udah hampir 2 minggu, saya udah beli 2 kali tapi ga jadi terus karena kehabisan stock jadi 2 2 nya di kembalikan dana nya tapi sampe sekarang belum ada sama sekali. Tolong kemana saya harus menghubungi nya",2,0.0,54.0,0,0,,
isinya kebanyakan buzzer njir yg komen,1,1.0,6.0,0,0,,
"baru download bgt, udh bayar malah angus gabisa dituker. ngerugiin bgt!",1,2.0,11.0,0,0,,
"kupon tidak tersedia, saat dibuka hanya muncul layar loading terus menerus 24 jam. Tolong diperbaiki ini!! Terimakasih sebelumnya.",1,0.0,18.0,0,0,,
keren sih qpon,5,0.0,3.0,0,0,,
cek in tiba2 balik lagi,2,0.0,5.0,0,0,,
"massa refund uang harus nunggu 14 hari lama bener dahh, minimal 1-2 hari lahh ini mahh 14 hari",1,0.0,18.0,0,0,,
check-in setiap hari tapi bisa2nya balek lagi day 1 parah2... tolong diperbaiki,1,0.0,12.0,0,0,,
"Aplikasi Qpon ini beneran worth it banget buat yang mau hemat tiap hari! 💸 Interface-nya simpel, mudah banget dipakai, dan promonya GILA-GILAAN banyaknya. Cocok banget buat anak kos atau pelajar yang mencari diskon makanan kekinian. Tinggal sekali klik, makan hemat lancar. Wajib banget di-download, asli nggak rugi! 🍔✨",5,25.0,48.0,1,1,,
diskon ga pake PHP . sedekah ini nama nya. sangat membantu sekali . sukses terus dan selalu maju terus dan berkah pastinya,5,0.0,22.0,1,0,,
aplikasih yang sangat berguna 😍,5,0.0,5.0,0,0,,
"Check in tiap hari ga pernah kelewat tapi direset terus jadi balik dari hari pertama lagi. Aplikasi sampah, curang banget.",1,2.0,20.0,0,0,,
"ya kali uang refund udah sebulan ga di refund2, di chat ga dibales.",1,0.0,13.0,0,0,,
makasih promo nya qpon,5,0.0,4.0,1,0,,
"Customer Service lemot bgt 1 Minggu lebih komplain belum ada balasan tanggapan? beli voucher McD pas flash sale, 2x mau nuker masih aja eror tidak bisa? jadinya bayar normal karna voucher tidak bisa di tukar.",1,5.0,35.0,1,0,,
makasih..,5,0.0,1.0,0,0,,
"udah 2x cek in kembali ke awal pas mau hari ke 7, apa coba alasan anda?",1,0.0,16.0,0,0,,
aplikasinya bagus,5,0.0,2.0,0,0,,
"qpon sangat bermanfaat,bnyak bnget promo promo nya,voucher potongan harga yg nga main main sampai 50% lebih gaes,hayo buruan download aplikasi ini,nga bakalan nyesel kalian,terimakasih qpon",5,3.0,25.0,1,0,,
semoga ada rezeki trus buat beli kupon nya hehehe,5,0.0,9.0,0,0,,
"sejauh ini promo yg ditawarkan sesuai, tiap hari ada flash sale...good lah",5,0.0,12.0,1,0,,
"aplikasi ga jelas, saya sudah bayar qris momoyo waktu mau tukarkan stok habis sampai saya datang 2 kali, saya cek di aplikasi tiba tiba kupon sudah kadaluarsa",1,0.0,27.0,0,0,,
"Udah 2 kali undang orang pake kode refferal, padahal bener masukin kodenya dan teman juga sudah menyelesaikan pesanannya tetapi saya ga dapat reward kuponnya. udah lapor CS via wa, jawabannya katanya berdasarkan sistem Qpon teman saya tidak pake kode refferal padahal saya sendiri yang masukin. hadeh",1,5.0,46.0,1,0,,
aplikasi merugikan,1,0.0,2.0,0,0,,
fasr respon..good👍🏻,5,0.0,2.0,0,0,,
"undang temen baru sekarang gak bisa, cuma bisa 1 kali aja selebihnya gagal,udah bangkrut kayanya",1,0.0,15.0,0,0,,
"Udh co qpon beli Roti o , voucher belum di tuker tapi pas buka aplikasi ternyata ke log out, setelah login lagi pas di cek voucher sudh terpakai Tgl 12 kemarin Jam 1 siang, padahal tidak ada menukar voucher nya sama sekali kemarin :)) kecewa berat padahal uang sudah masuk tapi voucher hilang, qpon tidak amanah :)",1,7.0,57.0,1,0,,
akun tidak normal terus ga bisa login,1,1.0,7.0,0,0,,
"Qpon benar-benar solusi terbaik buat anak kos kaya aku! Aplikasinya super mudah dipakai, banyak promo makanan harian yang bikin makan jadi hemat banget 🍔🔥. Diskon restoran terdekat juga lengkap, cocok buat yang suka kulineran. Gaya hidup hemat jadi lebih seru dengan Qpon, wajib download banget! 😍",5,16.0,46.0,1,1,,
"apk yang bikin selalu jajan tapi tetep hemat mantappp,tapi sayangnya reward hasil undang tidak bisa digunakan",4,1.0,16.0,1,0,,
"kecewa sama qpon ,dri kmren mau jajan sllu tulisannya terlalu banyak peminat coba lagi sebentar lagi mulu gak bisa2",1,1.0,19.0,0,0,,
kembalikan absen voucher alfaaaaa,1,0.0,4.0,1,0,,
ok,5,0.0,1.0,0,0,,
aplikasi penipuan cuman ambil untung aja harga di outlet sama di voucer malah lebih murah di outlet ini penipuan berkedok voucer gak guna,1,0.0,23.0,0,0,,
"Aku baru coba pakai 【Qpon】 dan ini bener-bener solusi terbaik buat dompet hemat! 😍 Aplikasinya mudah banget dipake, promonya banyak, dan diskon makanannya kekinian semua. Cocok banget buat anak kos atau pelajar. Tiap hari bisa makan enak tapi tetap irit! 🌟 Kalau belum download, rugi banget deh!",5,15.0,47.0,1,1,,
kenapa tidak bisa daftar akun baru? gag usah ngadain promo kalau gag bisa daftar akun,1,1.0,15.0,1,0,,
banyak promo menarik 🥰,5,0.0,4.0,1,0,,
bisa jajan makan hemat,5,0.0,4.0,1,0,,
the best application,5,0.0,3.0,0,0,,
menu tampilan yg sederhana dan bisa di mengeri. sangat bagus,5,0.0,10.0,0,0,,
"ga jelas, ga bisa masuk app",1,0.0,6.0,0,0,,
"Aplikasi Qpon nya bener bener bagus, bisa irit dan hemat. Fiturnya simpel, dan banyak banget promo makanan harian yang kekinian.diskon selalu ada, Cocok banget buat anak kos atau pelajar. Wajib download deh hemat tiap hari! 🙌",5,4.0,36.0,1,1,,
"sudah tukar kupon di parkiran outlet, trnyta ga kerjasama outletnya.. pusat bantuannya jg ga bntu samsek.. Jawab itu WA ""contact us"" nya",1,0.0,22.0,0,0,,
Aplikasi gajelas sudah chekin 6 hari eh balik lagi ke hari pertama. dzalim!,2,0.0,13.0,0,0,,
"Qpon bener-bener aplikasi wajib buat anak muda! 🎉 Gampang banget dipakai, pilihan promo melimpah, dan bikin hidup jauh lebih hemat. Khususnya buat anak kos seperti aku, diskon makanan harian dan restoran terdekatnya super membantu! Voucher gampang ditukar, aplikasi ini benar-benar worth it banget! 🌟",5,8.0,44.0,1,1,,
"Aplikasi 【Qpon】 ini bener-bener worth it banget buat kamu yang pengen hemat tiap hari! 🔥 Banyak banget pilihan promo makanan harian yang kekinian, plus gampang banget tukar voucher-nya. Cocok buat anak kos, pelajar, atau siapa aja yang suka makan enak tanpa bikin kantong bolong. 😍 User-friendly dan praktis banget!",5,15.0,49.0,1,1,,
"Aplikasi Qpon ini benar-benar bikin hidup lebih hemat! Banyak promo makanan harian yang bikin anak kos kayak aku bisa tetap makan enak tanpa boros 💰🍽️. Penggunaannya juga gampang banget, tinggal pilih promo, tukar, selesai! Cocok banget buat gaya hidup anak muda. Wajib diunduh, worth it maksimal! 👍",5,0.0,47.0,1,1,,
keren,5,0.0,1.0,0,0,,
"Qpon bener-bener aplikasi wajib buat anak muda! 🎉 Interface-nya super simple, jadi gampang banget dipakai. Banyak promo makanan kekinian dan diskon restoran terdekat yang bikin hidup anak kos jadi lebih hemat. 😍 Nggak nyesel download, ini bikin makan enak tiap hari tanpa bikin dompet jebol!",5,4.0,45.0,1,1,,
"Aplikasi Qpon ini bener-bener bikin hidup jadi lebih hemat! 😍 Banyak promo makanan harian yang gampang banget buat diakses. Selain itu, aplikasinya user-friendly dan praktis, jadi tukar voucher nggak ribet sama sekali. Cocok banget buat anak kos atau pelajar yang mau makan hemat tiap hari. Wajib punya! 💸",5,5.0,48.0,1,1,,
"Aplikasi taii. malu""in lo!! pdhl gw beli voucher""nya jg pake duit. tp glrn pas mau di tukerin malah gabisa dh gtu responnya lemot bikin malu aja monyet!!",1,0.0,27.0,1,0,,
